Chapter,sentence_range,Text
1,1-4,"Element
Symbol
Atomic
Molar
Number
mass/
 (g mol–1)
Actinium
Ac
89
227 03
Aluminium
Al
13
26 98
Americium
Am
95
(243)
Antimony
Sb
51
121 75
Argon
Ar
18
39"
1,2-5,"03
Aluminium
Al
13
26 98
Americium
Am
95
(243)
Antimony
Sb
51
121 75
Argon
Ar
18
39 95
Arsenic
As
33
74"
1,3-6,"98
Americium
Am
95
(243)
Antimony
Sb
51
121 75
Argon
Ar
18
39 95
Arsenic
As
33
74 92
Astatine
At
85
       210
Barium
Ba
56
137"
1,4-7,"75
Argon
Ar
18
39 95
Arsenic
As
33
74 92
Astatine
At
85
       210
Barium
Ba
56
137 34
Berkelium
Bk
97
(247)
Beryllium
Be
4
9"
1,5-8,"95
Arsenic
As
33
74 92
Astatine
At
85
       210
Barium
Ba
56
137 34
Berkelium
Bk
97
(247)
Beryllium
Be
4
9 01
Bismuth
Bi
83
208"
1,6-9,"92
Astatine
At
85
       210
Barium
Ba
56
137 34
Berkelium
Bk
97
(247)
Beryllium
Be
4
9 01
Bismuth
Bi
83
208 98
Bohrium
Bh
107
(264)
Boron
B
5
10"
1,7-10,"34
Berkelium
Bk
97
(247)
Beryllium
Be
4
9 01
Bismuth
Bi
83
208 98
Bohrium
Bh
107
(264)
Boron
B
5
10 81
Bromine
Br
35
79"
1,8-11,"01
Bismuth
Bi
83
208 98
Bohrium
Bh
107
(264)
Boron
B
5
10 81
Bromine
Br
35
79 91
Cadmium
Cd
48
112"
1,9-12,"98
Bohrium
Bh
107
(264)
Boron
B
5
10 81
Bromine
Br
35
79 91
Cadmium
Cd
48
112 40
Caesium
Cs
55
132"
1,10-13,"81
Bromine
Br
35
79 91
Cadmium
Cd
48
112 40
Caesium
Cs
55
132 91
Calcium
Ca
20
40"
1,11-14,"91
Cadmium
Cd
48
112 40
Caesium
Cs
55
132 91
Calcium
Ca
20
40 08
Californium
Cf
98
251"
1,12-15,"40
Caesium
Cs
55
132 91
Calcium
Ca
20
40 08
Californium
Cf
98
251 08
Carbon
C
6
12"
1,13-16,"91
Calcium
Ca
20
40 08
Californium
Cf
98
251 08
Carbon
C
6
12 01
Cerium
Ce
58
140"
1,14-17,"08
Californium
Cf
98
251 08
Carbon
C
6
12 01
Cerium
Ce
58
140 12
Chlorine
Cl
17
35"
1,15-18,"08
Carbon
C
6
12 01
Cerium
Ce
58
140 12
Chlorine
Cl
17
35 45
Chromium
Cr
24
52"
1,16-19,"01
Cerium
Ce
58
140 12
Chlorine
Cl
17
35 45
Chromium
Cr
24
52 00
Cobalt
Co
27
58"
1,17-20,"12
Chlorine
Cl
17
35 45
Chromium
Cr
24
52 00
Cobalt
Co
27
58 93
Copper
Cu
29
63"
1,18-21,"45
Chromium
Cr
24
52 00
Cobalt
Co
27
58 93
Copper
Cu
29
63 54
Curium
Cm
96
247"
1,19-22,"00
Cobalt
Co
27
58 93
Copper
Cu
29
63 54
Curium
Cm
96
247 07
Dubnium
Db
105
(263)
Dysprosium
Dy
66
162"
1,20-23,"93
Copper
Cu
29
63 54
Curium
Cm
96
247 07
Dubnium
Db
105
(263)
Dysprosium
Dy
66
162 50
Einsteinium
Es
99
(252)
Erbium
Er
68
167"
1,21-24,"54
Curium
Cm
96
247 07
Dubnium
Db
105
(263)
Dysprosium
Dy
66
162 50
Einsteinium
Es
99
(252)
Erbium
Er
68
167 26
Europium
Eu
63
151"
1,22-25,"07
Dubnium
Db
105
(263)
Dysprosium
Dy
66
162 50
Einsteinium
Es
99
(252)
Erbium
Er
68
167 26
Europium
Eu
63
151 96
Fermium
Fm
100
(257"
1,23-26,"50
Einsteinium
Es
99
(252)
Erbium
Er
68
167 26
Europium
Eu
63
151 96
Fermium
Fm
100
(257 10)
Fluorine
F
9
19"
1,24-27,"26
Europium
Eu
63
151 96
Fermium
Fm
100
(257 10)
Fluorine
F
9
19 00
Francium
Fr
87
(223)
Gadolinium
Gd
64
157"
1,25-28,"96
Fermium
Fm
100
(257 10)
Fluorine
F
9
19 00
Francium
Fr
87
(223)
Gadolinium
Gd
64
157 25
Gallium
Ga
31
69"
1,26-29,"10)
Fluorine
F
9
19 00
Francium
Fr
87
(223)
Gadolinium
Gd
64
157 25
Gallium
Ga
31
69 72
Germanium
Ge
32
72"
1,27-30,"00
Francium
Fr
87
(223)
Gadolinium
Gd
64
157 25
Gallium
Ga
31
69 72
Germanium
Ge
32
72 61
Gold
Au
79
196"
