Chapter,sentence_range,Text
1,1-4,"vProofs are to Mathematics what calligraphy is to poetry Mathematical works do consist of proofs just as
poems do consist of characters — VLADIMIR ARNOLD v
A 1"
1,2-5,"Mathematical works do consist of proofs just as
poems do consist of characters — VLADIMIR ARNOLD v
A 1 1  Introduction
In Classes IX, X and XI, we have learnt about the concepts of a statement, compound
statement, negation, converse and contrapositive of a statement; axioms, conjectures,
theorems and deductive reasoning"
1,3-6,"— VLADIMIR ARNOLD v
A 1 1  Introduction
In Classes IX, X and XI, we have learnt about the concepts of a statement, compound
statement, negation, converse and contrapositive of a statement; axioms, conjectures,
theorems and deductive reasoning Here, we will discuss various methods of proving mathematical propositions"
1,4-7,"1 1  Introduction
In Classes IX, X and XI, we have learnt about the concepts of a statement, compound
statement, negation, converse and contrapositive of a statement; axioms, conjectures,
theorems and deductive reasoning Here, we will discuss various methods of proving mathematical propositions A"
1,5-8,"1  Introduction
In Classes IX, X and XI, we have learnt about the concepts of a statement, compound
statement, negation, converse and contrapositive of a statement; axioms, conjectures,
theorems and deductive reasoning Here, we will discuss various methods of proving mathematical propositions A 1"
1,6-9,"Here, we will discuss various methods of proving mathematical propositions A 1 2  What is a Proof"
1,7-10,"A 1 2  What is a Proof Proof of a mathematical statement consists of sequence of statements, each statement
being justified with a definition or an axiom or a proposition that is previously established
by the  method of deduction using only the allowed logical rules"
1,8-11,"1 2  What is a Proof Proof of a mathematical statement consists of sequence of statements, each statement
being justified with a definition or an axiom or a proposition that is previously established
by the  method of deduction using only the allowed logical rules Thus, each proof is a chain of deductive arguments each of which has its premises
and conclusions"
1,9-12,"2  What is a Proof Proof of a mathematical statement consists of sequence of statements, each statement
being justified with a definition or an axiom or a proposition that is previously established
by the  method of deduction using only the allowed logical rules Thus, each proof is a chain of deductive arguments each of which has its premises
and conclusions Many a times, we prove a proposition directly from what is given in
the proposition"
1,10-13,"Proof of a mathematical statement consists of sequence of statements, each statement
being justified with a definition or an axiom or a proposition that is previously established
by the  method of deduction using only the allowed logical rules Thus, each proof is a chain of deductive arguments each of which has its premises
and conclusions Many a times, we prove a proposition directly from what is given in
the proposition But some times it is easier to prove an equivalent proposition rather
than proving the proposition itself"
1,11-14,"Thus, each proof is a chain of deductive arguments each of which has its premises
and conclusions Many a times, we prove a proposition directly from what is given in
the proposition But some times it is easier to prove an equivalent proposition rather
than proving the proposition itself This leads to, two ways of proving a proposition
directly or indirectly and the proofs obtained are called direct proof and indirect proof
and further each has three different ways of proving which is discussed below"
1,12-15,"Many a times, we prove a proposition directly from what is given in
the proposition But some times it is easier to prove an equivalent proposition rather
than proving the proposition itself This leads to, two ways of proving a proposition
directly or indirectly and the proofs obtained are called direct proof and indirect proof
and further each has three different ways of proving which is discussed below Direct Proof  It is the proof of a proposition in which we directly start the proof with
what is given in the proposition"
1,13-16,"But some times it is easier to prove an equivalent proposition rather
than proving the proposition itself This leads to, two ways of proving a proposition
directly or indirectly and the proofs obtained are called direct proof and indirect proof
and further each has three different ways of proving which is discussed below Direct Proof  It is the proof of a proposition in which we directly start the proof with
what is given in the proposition (i)
Straight forward approach It is a chain of arguments which leads directly from
what is given or assumed,  with the help of axioms, definitions or already proved
theorems, to what is to be proved using rules of logic"
1,14-17,"This leads to, two ways of proving a proposition
directly or indirectly and the proofs obtained are called direct proof and indirect proof
and further each has three different ways of proving which is discussed below Direct Proof  It is the proof of a proposition in which we directly start the proof with
what is given in the proposition (i)
Straight forward approach It is a chain of arguments which leads directly from
what is given or assumed,  with the help of axioms, definitions or already proved
theorems, to what is to be proved using rules of logic Consider the following example:
Example 1 Show that if x2 – 5x + 6 = 0, then x = 3 or x = 2"
1,15-18,"Direct Proof  It is the proof of a proposition in which we directly start the proof with
what is given in the proposition (i)
Straight forward approach It is a chain of arguments which leads directly from
what is given or assumed,  with the help of axioms, definitions or already proved
theorems, to what is to be proved using rules of logic Consider the following example:
Example 1 Show that if x2 – 5x + 6 = 0, then x = 3 or x = 2 Solution x2 – 5x + 6 = 0 (given)
Appendix 1
PROOFS IN MATHEMATICS
Rationalised 2023-24
 MATHEMATICS
188
⇒ (x – 3) (x – 2) = 0 (replacing an expression by an equal/equivalent expression)
⇒ x – 3 = 0 or x – 2 = 0 (from the established theorem ab = 0 ⇒ either a = 0 or
b = 0, for a, b in R)
⇒ x – 3 + 3 = 0 + 3 or  x – 2 + 2 = 0 + 2 (adding equal quantities on either side of the
equation does not alter the nature of the
equation)
⇒ x + 0 = 3 or x + 0 = 2  (using the identity property of integers under addition)
⇒ x = 3 or x = 2 (using the identity property of integers under addition)
Hence, x2 – 5x + 6 = 0 implies x = 3 or x = 2"
1,16-19,"(i)
Straight forward approach It is a chain of arguments which leads directly from
what is given or assumed,  with the help of axioms, definitions or already proved
theorems, to what is to be proved using rules of logic Consider the following example:
Example 1 Show that if x2 – 5x + 6 = 0, then x = 3 or x = 2 Solution x2 – 5x + 6 = 0 (given)
Appendix 1
PROOFS IN MATHEMATICS
Rationalised 2023-24
 MATHEMATICS
188
⇒ (x – 3) (x – 2) = 0 (replacing an expression by an equal/equivalent expression)
⇒ x – 3 = 0 or x – 2 = 0 (from the established theorem ab = 0 ⇒ either a = 0 or
b = 0, for a, b in R)
⇒ x – 3 + 3 = 0 + 3 or  x – 2 + 2 = 0 + 2 (adding equal quantities on either side of the
equation does not alter the nature of the
equation)
⇒ x + 0 = 3 or x + 0 = 2  (using the identity property of integers under addition)
⇒ x = 3 or x = 2 (using the identity property of integers under addition)
Hence, x2 – 5x + 6 = 0 implies x = 3 or x = 2 Explanation Let p be the given statement “x2 – 5x + 6 = 0” and q be the conclusion
statement “x = 3 or x = 2”"
